Integration ID,Integration File Path,Connector ID,Connector Folder Path,assignee,Auth Details,Collect Capabilities,Params to Commands,Params for test with default in code,UCP param-default review,Params to Capabilities,generated manifest,handler param coverage,run manifest make validate,param parity test passes,code reviewed,code merged,precommit/validate/unit tests passed,Release Notes
Abnormal Security Event Collector,Packs/AbnormalSecurity/Integrations/AbnormalSecurityEventCollector/AbnormalSecurityEventCollector.yml,Abnormal Security,connectors/abnormal-security,juschwartz,"{""auth_types"": [{""type"": ""APIKey"", ""name"": ""token"", ""xsoar_param_map"": {""token.password"": ""key""}, ""interpolated"": true}], ""other_connection"": [""proxy"", ""verify""]}","[""Log Collection""]","{""integration"":""Abnormal Security Event Collector"",""commands"":{""abnormal-security-event-collector-get-events"":[],""fetch-events"":[],""test-module"":[]}}",{},✅,"{""general_configurations"":[],""Log Collection"":[]}",✅,✅,✅,,,,,
Absolute,Packs/Absolute/Integrations/Absolute/Absolute.yml,Absolute,connectors/absolute,juschwartz,"{""auth_types"": [{""type"": ""Plain"", ""name"": ""credentials"", ""xsoar_param_map"": {""credentials.identifier"": ""username"", ""credentials.password"": ""password""}, ""interpolated"": true}], ""other_connection"": [""insecure"", ""proxy"", ""url""]}","[""Log Collection"",""Automation""]","{""integration"":""Absolute"",""commands"":{""absolute-custom-device-field-list"":[],""absolute-custom-device-field-update"":[],""absolute-device-application-list"":[],""absolute-device-freeze-message-create"":[],""absolute-device-freeze-message-delete"":[],""absolute-device-freeze-message-list"":[],""absolute-device-freeze-message-update"":[],""absolute-device-freeze-request"":[],""absolute-device-freeze-request-get"":[],""absolute-device-get"":[],""absolute-device-get-events"":[],""absolute-device-list"":[],""absolute-device-location-get"":[],""absolute-device-remove-freeze-request"":[],""absolute-device-unenroll"":[],""fetch-events"":[],""test-module"":[]}}",{},✅,"{""general_configurations"":[],""Log Collection"":[],""Automation"":[]}",✅,✅,✅,,,,,
AbuseIPDB,Packs/AbuseDB/Integrations/AbuseDB/AbuseDB.yml,AbuseIPDB,connectors/abuseipdb,juschwartz,"{""auth_types"": [{""type"": ""Passthrough"", ""name"": ""credentials"", ""xsoar_param_map"": {""credentials.password"": ""api_key"", ""hunting_credentials.password"": ""hunting_api_key""}, ""interpolated"": true}], ""other_connection"": [""abusech_hunting_url"", ""insecure"", ""proxy"", ""server""]}","[""Automation""]","{""integration"":""AbuseIPDB"",""commands"":{""ip"":[""days"",""disable_private_ip_lookup"",""disregard_quota"",""integrationReliability"",""threshold""],""abuseipdb-check-cidr-block"":[""days"",""disregard_quota"",""integrationReliability"",""threshold""],""abuseipdb-report-ip"":[""disregard_quota""],""abuseipdb-get-blacklist"":[""disregard_quota""],""abuseipdb-get-fplist"":[],""abuseipdb-get-categories"":[],""test-module"":[""integrationReliability""]}}","{""threshold"":""80"",""days"":""30"",""integrationReliability"":""C - Fairly reliable"",""disable_private_ip_lookup"":false,""disregard_quota"":false}",✅,"{""general_configurations"":[],""Automation"":[""days"",""disable_private_ip_lookup"",""disregard_quota"",""integrationReliability"",""threshold""]}",✅,✅,✅,,,,,
ActiveMQ,Packs/ActiveMQ/Integrations/ActiveMQ/ActiveMQ.yml,Apache,connectors/apache,juschwartz,"{""auth_types"": [{""type"": ""Passthrough"", ""name"": ""Certificate Authentication"", ""xsoar_param_map"": {""client_cert"": ""client_certificate"", ""client_key"": ""client_key"", ""root_ca"": ""root_ca""}, ""interpolated"": true}, {""type"": ""Plain"", ""name"": ""Basic Authentication"", ""xsoar_param_map"": {""credentials.identifier"": ""username"", ""credentials.password"": ""password""}, ""interpolated"": true}], ""other_connection"": [""client-id"", ""hostname"", ""port""]}","[""Fetch Issues"",""Automation""]","{""integration"":""ActiveMQ"",""commands"":{""activemq-send"":[],""activemq-subscribe"":[],""fetch-incidents"":[""queue_name"",""subscription-id"",""topic-name""],""test-module"":[""isFetch"",""queue_name"",""topic-name""]}}","{""subscription-id"":""1""}",✅,"{""general_configurations"":[],""Fetch Issues"":[""subscription-id"",""topic-name"",""queue_name""],""Automation"":[]}",✅,✅,✅,,,,,
AdminByRequest,Packs/AdminByRequest/Integrations/AdminByRequestEventCollector/AdminByRequestEventCollector.yml,AdminByRequest,connectors/adminbyrequest,juschwartz,"{""auth_types"": [{""type"": ""APIKey"", ""name"": ""credentials"", ""xsoar_param_map"": {""credentials.password"": ""key""}, ""interpolated"": true}], ""other_connection"": [""insecure"", ""proxy"", ""url""]}","[""Log Collection"",""Automation""]","{""integration"":""AdminByRequest"",""commands"":{""fetch-events"":[""event_types_to_fetch"",""max_auditlog_per_fetch"",""max_events_per_fetch"",""max_requests_per_fetch""],""adminbyrequest-get-events"":[],""adminbyrequest-list-requests"":[],""adminbyrequest-request-approve"":[],""adminbyrequest-request-deny"":[],""test-module"":[]}}",{},✅,"{""general_configurations"":[],""Log Collection"":[""event_types_to_fetch"",""max_auditlog_per_fetch"",""max_events_per_fetch"",""max_requests_per_fetch""],""Automation"":[]}",✅,✅,✅,,,,,
Aha,Packs/AHA/Integrations/AHA/AHA.yml,Aha,connectors/aha,juschwartz,"{""auth_types"": [{""type"": ""APIKey"", ""name"": ""api_key"", ""xsoar_param_map"": {""api_key.password"": ""key""}, ""interpolated"": true}], ""other_connection"": [""insecure"", ""project_name"", ""proxy"", ""url""]}","[""Automation""]","{""integration"":""Aha"",""commands"":{""aha-edit-feature"":[],""aha-edit-idea"":[],""aha-get-features"":[],""aha-get-ideas"":[],""test-module"":[]}}",{},✅,"{""general_configurations"":[],""Automation"":[]}",✅,✅,✅,,,,,
AlgoSec,Packs/Algosec/Integrations/AlgoSec/AlgoSec.yml,AlgoSec,connectors/algosec,juschwartz,"{""auth_types"": [{""type"": ""Plain"", ""name"": ""credentials"", ""xsoar_param_map"": {""credentials.identifier"": ""username"", ""credentials.password"": ""password""}, ""interpolated"": true}], ""other_connection"": [""insecure"", ""proxy"", ""server""]}","[""Automation""]","{""integration"":""AlgoSec"",""commands"":{""algosec-get-ticket"":[],""algosec-create-ticket"":[],""algosec-get-applications"":[],""algosec-get-network-object"":[],""algosec-query"":[],""test-module"":[]}}",{},✅,"{""general_configurations"":[],""Automation"":[]}",✅,✅,✅,,,,,
Alibaba Action Trail Event Collector,Packs/AlibabaActionTrail/Integrations/AlibabaActionTrailEventCollector/AlibabaActionTrailEventCollector.yml,Alibaba Cloud,connectors/alibaba-cloud,juschwartz,"{""auth_types"": [{""type"": ""Passthrough"", ""name"": ""access_key"", ""xsoar_param_map"": {""access_key.identifier"": ""access_key_id"", ""access_key.password"": ""access_key_secret""}, ""interpolated"": true}], ""other_connection"": [""endpoint"", ""logstore_name"", ""project_name"", ""proxy"", ""query"", ""verify""]}","[""Log Collection""]","{""integration"":""Alibaba Action Trail Event Collector"",""commands"":{""fetch-events"":[""from"",""limit"",""query""],""alibaba-get-events"":[""from"",""limit"",""query""],""test-module"":[""from"",""limit"",""query""]}}","{""from"":""3 days""}",✅,"{""general_configurations"":[],""Log Collection"":[""from"",""limit""]}",✅,✅,✅,,,,,
AlienVault OTX TAXII Feed,Packs/FeedAlienVault/Integrations/FeedAlienVaultOTXTaxii/FeedAlienVaultOTXTaxii.yml,AlienVault,connectors/alienvault,juschwartz,"{""auth_types"": [{""type"": ""APIKey"", ""name"": ""credentials"", ""xsoar_param_map"": {""credentials.password"": ""key""}, ""interpolated"": true}], ""other_connection"": [""insecure"", ""proxy""]}","[""Threat Intelligence & Enrichment""]","{""integration"":""AlienVault OTX TAXII Feed"",""commands"":{""fetch-indicators"":[""all_collections"",""collections"",""initial_interval"",""feedTags"",""tlp_color""],""alienvaultotx-get-indicators"":[""all_collections"",""collections"",""feedTags"",""tlp_color""],""test-module"":[""all_collections"",""collections"",""initial_interval"",""feedTags"",""tlp_color""]}}",{},✅,"{""Threat Intelligence & Enrichment"":[""all_collections"",""collections"",""initial_interval""],""general_configurations"":[""feedTags"",""tlp_color""]}",✅,✅,✅,,,,,
AlienVault OTX v2,Packs/AlienVault_OTX/Integrations/AlienVault_OTX_v2/AlienVault_OTX_v2.yml,AlienVault,connectors/alienvault,juschwartz,"{""auth_types"": [{""type"": ""APIKey"", ""name"": ""credentials"", ""xsoar_param_map"": {""credentials.password"": ""key""}, ""interpolated"": true}], ""other_connection"": [""insecure"", ""proxy"", ""url""]}","[""Automation""]","{""integration"":""AlienVault OTX v2"",""commands"":{""ip"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""domain"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""file"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""url"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""alienvault-search-hostname"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""alienvault-search-cve"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""alienvault-search-ipv6"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""alienvault-search-pulses"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""alienvault-get-related-urls-by-indicator"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""alienvault-get-related-hashes-by-indicator"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""alienvault-get-passive-dns-data-by-indicator"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""alienvault-get-pulse-details"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""test-module"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""]}}",{},✅,"{""Automation"":[""create_relationships"",""default_threshold"",""integrationReliability"",""max_indicator_relationships"",""min_valid_sources"",""should_error""],""general_configurations"":[]}",✅,✅,✅,,,,,
AlienVault Reputation Feed,Packs/FeedAlienVault/Integrations/FeedAlienVaultReputation/FeedAlienVaultReputation.yml,AlienVault,connectors/alienvault,juschwartz,"{""auth_types"":[],""other_connection"":[""insecure"",""proxy""]}","[""Threat Intelligence & Enrichment""]","{""integration"":""AlienVault Reputation Feed"",""commands"":{""fetch-indicators"":[""feedTags"",""tlp_color""],""alienvault-get-indicators"":[""feedTags"",""tlp_color""],""test-module"":[""feedTags"",""tlp_color""]}}",{},✅,"{""Threat Intelligence & Enrichment"":[],""general_configurations"":[""feedTags"",""tlp_color""]}",✅,✅,✅,,,,,
AlienVault USM Anywhere,Packs/AlienVault_USM_Anywhere/Integrations/AlienVault_USM_Anywhere/AlienVault_USM_Anywhere.yml,AlienVault,connectors/alienvault,juschwartz,"{""auth_types"": [{""type"": ""Passthrough"", ""name"": ""client_credentials"", ""xsoar_param_map"": {""client_id_creds.identifier"": ""client_id"", ""client_id_creds.password"": ""client_secret""}, ""interpolated"": true}], ""other_connection"": [""insecure"", ""proxy"", ""url""]}","[""Fetch Issues"",""Automation""]","{""integration"":""AlienVault USM Anywhere"",""commands"":{""alienvault-search-alarms"":[],""alienvault-get-alarm"":[],""alienvault-search-events"":[],""alienvault-get-events-by-alarm"":[],""fetch-incidents"":[""fetch_limit"",""fetch_time"",""time_format""],""test-module"":[]}}","{""fetch_limit"":""10""}",✅,"{""Automation"":[],""Fetch Issues"":[""fetch_limit"",""fetch_time"",""time_format""],""general_configurations"":[]}",✅,✅,✅,,,,,
Anomali Enterprise,Packs/Anomali_Enterprise/Integrations/Anomali_Enterprise/Anomali_Enterprise.yml,Anomali,connectors/anomali,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""credentials.identifier"":""username"",""credentials.password"":""password""},""interpolated"":true}],""other_connection"":[""insecure"",""proxy"",""url""]}","[""Automation""]","{""integration"":""Anomali Match"",""commands"":{""anomali-enterprise-dga-domain-status"":[],""anomali-enterprise-retro-forensic-search"":[],""anomali-enterprise-retro-forensic-search-results"":[],""domain"":[""integrationReliability""],""test-module"":[""feedExpirationPolicy"",""feedExpirationInterval""]}}",{},✅,"{""Automation"":[""integrationReliability"",""feedExpirationPolicy"",""feedExpirationInterval""]}",✅,✅,✅,,,,,
Anomali ThreatStream Feed,Packs/AnomaliThreatStreamFeed/Integrations/AnomaliThreatStreamFeed/AnomaliThreatStreamFeed.yml,Anomali,connectors/anomali,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""credentials.identifier"":""username"",""credentials.password"":""password""},""interpolated"":true}],""other_connection"":[""insecure"",""url""]}","[""Threat Intelligence & Enrichment""]","{""integration"":""Anomali ThreatStream Feed"",""commands"":{""test-module"":[""createRelationships"",""tlp_color"",""feedReliability"",""fetchBy"",""confidenceThreshold"",""feedFetchInterval"",""feed"",""feedReputation"",""feedExpirationPolicy""],""threatstream-feed-get-indicators"":[""createRelationships"",""tlp_color"",""feedReliability"",""fetchBy"",""confidenceThreshold"",""feedFetchInterval"",""feed"",""feedReputation"",""feedExpirationPolicy""]}}",{},✅,"{""Threat Intelligence & Enrichment"":[""createRelationships"",""tlp_color"",""feedReliability"",""fetchBy"",""confidenceThreshold"",""feedFetchInterval"",""feed"",""feedReputation"",""feedExpirationPolicy""]}",✅,✅,✅,,,,,
Anomali ThreatStream v3,Packs/Anomali_ThreatStream/Integrations/AnomaliThreatStreamv3/AnomaliThreatStreamv3.yml,Anomali,connectors/anomali,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""credentials.identifier"":""username"",""credentials.password"":""password""},""interpolated"":true}],""other_connection"":[""insecure"",""proxy"",""url""]}","[""Automation""]","{""integration"":""Anomali ThreatStream v3"",""commands"":{""test-module"":[""integrationReliability"",""create_relationships"",""remote_api"",""indicator_default_score"",""include_inactive""],""ip"":[""ip_threshold"",""indicator_default_score"",""integrationReliability"",""create_relationships"",""remote_api""],""url"":[""url_threshold"",""indicator_default_score"",""integrationReliability"",""create_relationships"",""remote_api""],""file"":[""file_threshold"",""indicator_default_score"",""integrationReliability"",""create_relationships"",""remote_api""],""domain"":[""domain_threshold"",""indicator_default_score"",""integrationReliability"",""create_relationships"",""remote_api""],""threatstream-email-reputation"":[""email_threshold"",""indicator_default_score"",""integrationReliability"",""create_relationships"",""remote_api""],""threatstream-get-model-list"":[""include_inactive""],""threatstream-search-intelligence"":[""include_inactive""]}}",{},✅,"{""Automation"":[""integrationReliability"",""create_relationships"",""remote_api"",""indicator_default_score"",""include_inactive"",""ip_threshold"",""url_threshold"",""file_threshold"",""domain_threshold"",""email_threshold""]}",✅,✅,✅,,,,,
AnsibleACME,Packs/AnsibleLinux/Integrations/AnsibleACME/AnsibleACME.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Passthrough"",""name"":""SSH credentials"",""interpolated"":true,""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password"",""become_password"":""become_password""}}],""other_connection"":[""become"",""become_method"",""become_user"",""concurrency"",""port""]}","[""Automation""]","{""integration"":""Ansible ACME"",""commands"":{""test-module"":[],""acme-account"":[],""acme-account-info"":[],""acme-certificate"":[],""acme-certificate-revoke"":[],""acme-challenge-cert-helper"":[],""acme-inspect"":[]}}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleAlibabaCloud,Packs/AnsibleAlibabaCloud/Integrations/AnsibleAlibabaCloud/AnsibleAlibabaCloud.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password""},""interpolated"":true}],""other_connection"":[""alicloud_region""]}","[""Automation""]","{""integration"":""Ansible Alibaba Cloud"",""commands"":{""test-module"":[],""ali-instance"":[],""ali-instance-info"":[]}}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
