Integration ID,Integration File Path,Connector ID,Connector Folder Path,assignee,Auth Details,Collect Capabilities,Params to Commands,Params for test with default in code,UCP param-default review,Params to Capabilities,generated manifest,handler param coverage,run manifest make validate,param parity test passes,code reviewed,code merged,precommit/validate/unit tests passed,Release Notes
AnsibleAzure,Packs/AnsibleAzure/Integrations/AnsibleAzure/AnsibleAzure.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password""},""interpolated"":true}],""other_connection"":[""api_profile"",""cert_validation_mode"",""cloud_environment"",""subscription_id"",""tenant""]}","[""Automation""]","{
  ""commands"": {
    ""azure-rm-autoscale"": [],
    ""azure-rm-autoscale-info"": [],
    ""azure-rm-availabilityset"": [],
    ""azure-rm-availabilityset-info"": [],
    ""azure-rm-azurefirewall"": [],
    ""azure-rm-azurefirewall-info"": [],
    ""azure-rm-deployment"": [],
    ""azure-rm-deployment-info"": [],
    ""azure-rm-dnsrecordset"": [],
    ""azure-rm-dnsrecordset-info"": [],
    ""azure-rm-dnszone"": [],
    ""azure-rm-dnszone-info"": [],
    ""azure-rm-functionapp"": [],
    ""azure-rm-functionapp-info"": [],
    ""azure-rm-gallery"": [],
    ""azure-rm-gallery-info"": [],
    ""azure-rm-galleryimage"": [],
    ""azure-rm-galleryimage-info"": [],
    ""azure-rm-galleryimageversion"": [],
    ""azure-rm-galleryimageversion-info"": [],
    ""azure-rm-image"": [],
    ""azure-rm-image-info"": [],
    ""azure-rm-loadbalancer"": [],
    ""azure-rm-loadbalancer-info"": [],
    ""azure-rm-manageddisk"": [],
    ""azure-rm-manageddisk-info"": [],
    ""azure-rm-networkinterface"": [],
    ""azure-rm-networkinterface-info"": [],
    ""azure-rm-publicipaddress"": [],
    ""azure-rm-publicipaddress-info"": [],
    ""azure-rm-resource-info"": [],
    ""azure-rm-resourcegroup"": [],
    ""azure-rm-resourcegroup-info"": [],
    ""azure-rm-route"": [],
    ""azure-rm-routetable"": [],
    ""azure-rm-routetable-info"": [],
    ""azure-rm-securitygroup"": [],
    ""azure-rm-securitygroup-info"": [],
    ""azure-rm-snapshot"": [],
    ""azure-rm-subnet"": [],
    ""azure-rm-subnet-info"": [],
    ""azure-rm-trafficmanagerendpoint"": [],
    ""azure-rm-trafficmanagerendpoint-info"": [],
    ""azure-rm-trafficmanagerprofile"": [],
    ""azure-rm-trafficmanagerprofile-info"": [],
    ""azure-rm-virtualmachine"": [],
    ""azure-rm-virtualmachine-info"": [],
    ""azure-rm-virtualmachineextension"": [],
    ""azure-rm-virtualmachineextension-info"": [],
    ""azure-rm-virtualmachineimage-info"": [],
    ""azure-rm-virtualmachinescaleset"": [],
    ""azure-rm-virtualmachinescaleset-info"": [],
    ""azure-rm-virtualmachinescalesetextension"": [],
    ""azure-rm-virtualmachinescalesetextension-info"": [],
    ""azure-rm-virtualmachinescalesetinstance"": [],
    ""azure-rm-virtualmachinescalesetinstance-info"": [],
    ""azure-rm-virtualnetwork"": [],
    ""azure-rm-virtualnetwork-info"": [],
    ""azure-rm-virtualnetworkgateway"": [],
    ""azure-rm-virtualnetworkpeering"": [],
    ""azure-rm-virtualnetworkpeering-info"": [],
    ""azure-rm-webapp"": [],
    ""azure-rm-webapp-info"": [],
    ""azure-rm-webappslot"": [],
    ""test-module"": []
  },
  ""integration"": ""Ansible Azure""
}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleCiscoIOS,Packs/AnsibleCiscoIOS/Integrations/AnsibleCiscoIOS/AnsibleCiscoIOS.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Passthrough"",""name"":""SSH credentials"",""interpolated"":true,""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password"",""enable_password"":""enable_password""}}],""other_connection"":[""concurrency"",""port""]}","[""Automation""]","{
  ""commands"": {
    ""ios-banner"": [],
    ""ios-bgp"": [],
    ""ios-command"": [],
    ""ios-config"": [],
    ""ios-facts"": [],
    ""ios-interfaces"": [],
    ""ios-l2-interfaces"": [],
    ""ios-l3-interfaces"": [],
    ""ios-lacp"": [],
    ""ios-lacp-interfaces"": [],
    ""ios-lag-interfaces"": [],
    ""ios-linkagg"": [],
    ""ios-lldp"": [],
    ""ios-lldp-global"": [],
    ""ios-lldp-interfaces"": [],
    ""ios-logging"": [],
    ""ios-ntp"": [],
    ""ios-ping"": [],
    ""ios-static-route"": [],
    ""ios-system"": [],
    ""ios-user"": [],
    ""ios-vlans"": [],
    ""ios-vrf"": [],
    ""test-module"": []
  },
  ""integration"": ""Ansible Cisco IOS""
}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleCiscoNXOS,Packs/AnsibleCiscoNXOS/Integrations/AnsibleCiscoNXOS/AnsibleCiscoNXOS.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password""},""interpolated"":true}],""other_connection"":[""concurrency"",""port""]}","[""Automation""]","{
  ""commands"": {
    ""nxos-aaa-server"": [],
    ""nxos-aaa-server-host"": [],
    ""nxos-acl"": [],
    ""nxos-acl-interface"": [],
    ""nxos-banner"": [],
    ""nxos-bfd-global"": [],
    ""nxos-bfd-interfaces"": [],
    ""nxos-bgp"": [],
    ""nxos-bgp-af"": [],
    ""nxos-bgp-neighbor"": [],
    ""nxos-bgp-neighbor-af"": [],
    ""nxos-command"": [],
    ""nxos-config"": [],
    ""nxos-evpn-global"": [],
    ""nxos-evpn-vni"": [],
    ""nxos-facts"": [],
    ""nxos-feature"": [],
    ""nxos-gir"": [],
    ""nxos-gir-profile-management"": [],
    ""nxos-hsrp"": [],
    ""nxos-igmp"": [],
    ""nxos-igmp-interface"": [],
    ""nxos-igmp-snooping"": [],
    ""nxos-install-os"": [],
    ""nxos-interface-ospf"": [],
    ""nxos-interfaces"": [],
    ""nxos-l2-interfaces"": [],
    ""nxos-l3-interfaces"": [],
    ""nxos-lacp"": [],
    ""nxos-lacp-interfaces"": [],
    ""nxos-lag-interfaces"": [],
    ""nxos-lldp"": [],
    ""nxos-lldp-global"": [],
    ""nxos-logging"": [],
    ""nxos-ntp"": [],
    ""nxos-ntp-auth"": [],
    ""nxos-ntp-options"": [],
    ""nxos-nxapi"": [],
    ""nxos-ospf"": [],
    ""nxos-ospf-vrf"": [],
    ""nxos-overlay-global"": [],
    ""nxos-pim"": [],
    ""nxos-pim-interface"": [],
    ""nxos-pim-rp-address"": [],
    ""nxos-ping"": [],
    ""nxos-reboot"": [],
    ""nxos-rollback"": [],
    ""nxos-rpm"": [],
    ""nxos-smu"": [],
    ""nxos-snapshot"": [],
    ""nxos-snmp-community"": [],
    ""nxos-snmp-contact"": [],
    ""nxos-snmp-host"": [],
    ""nxos-snmp-location"": [],
    ""nxos-snmp-traps"": [],
    ""nxos-snmp-user"": [],
    ""nxos-static-route"": [],
    ""nxos-system"": [],
    ""nxos-telemetry"": [],
    ""nxos-udld"": [],
    ""nxos-udld-interface"": [],
    ""nxos-user"": [],
    ""nxos-vlans"": [],
    ""nxos-vpc"": [],
    ""nxos-vpc-interface"": [],
    ""nxos-vrf"": [],
    ""nxos-vrf-af"": [],
    ""nxos-vrf-interface"": [],
    ""nxos-vrrp"": [],
    ""nxos-vtp-domain"": [],
    ""nxos-vtp-password"": [],
    ""nxos-vtp-version"": [],
    ""nxos-vxlan-vtep"": [],
    ""nxos-vxlan-vtep-vni"": [],
    ""test-module"": []
  },
  ""integration"": ""Ansible Cisco NXOS""
}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleDNS,Packs/AnsibleLinux/Integrations/AnsibleDNS/AnsibleDNS.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""TSIG Key"",""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password""},""interpolated"":true,""verify_connection_skip"":true}],""other_connection"":[""key_algorithm"",""port"",""protocol"",""server""]}","[""Automation""]","{""integration"":""Ansible DNS"",""commands"":{""test-module"":[]}}",{},✅,"{""Automation"": [], ""general_configurations"": []}",✅,✅,✅,,,,,
AnsibleHCloud,Packs/AnsibleHetznerCloud/Integrations/AnsibleHCloud/AnsibleHCloud.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""APIKey"",""name"":""creds"",""xsoar_param_map"":{""creds.password"":""key""},""interpolated"":true}],""other_connection"":[""endpoint""]}","[""Automation""]","{""integration"":""AnsibleHCloud"",""commands"":{""test-module"":[],""hcloud-datacenter-info"":[],""hcloud-floating-ip-info"":[],""hcloud-image-info"":[],""hcloud-location-info"":[],""hcloud-network"":[],""hcloud-network-info"":[],""hcloud-rdns"":[],""hcloud-route"":[],""hcloud-server"":[],""hcloud-server-info"":[],""hcloud-server-network"":[],""hcloud-server-type-info"":[],""hcloud-ssh-key"":[],""hcloud-ssh-key-info"":[],""hcloud-subnetwork"":[],""hcloud-volume"":[],""hcloud-volume-info"":[]}}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleKubernetes,Packs/AnsibleKubernetes/Integrations/AnsibleKubernetes/AnsibleKubernetes.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Passthrough"",""name"":""kubernetes_auth"",""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password"",""api_key"":""api_key""},""interpolated"":true,""verify_connection_skip"":true}],""other_connection"":[""host"",""validate_certs""]}","[""Automation""]","{""integration"":""AnsibleKubernetes"",""commands"":{""test-module"":[],""k8s-k8s"":[],""k8s-info"":[],""k8s-scale"":[],""k8s-service"":[]}}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleLinux,Packs/AnsibleLinux/Integrations/AnsibleLinux/AnsibleLinux.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Passthrough"",""name"":""ssh_auth"",""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password"",""become_password"":""become_password""},""interpolated"":true,""verify_connection_skip"":true}],""other_connection"":[""become"",""become_method"",""become_user"",""concurrency"",""port""]}","[""Automation""]","{""integration"": ""AnsibleLinux"", ""commands"": {""linux-acl"": [], ""linux-alternatives"": [], ""linux-apk"": [], ""linux-apt"": [], ""linux-apt-key"": [], ""linux-apt-repo"": [], ""linux-apt-repository"": [], ""linux-apt-rpm"": [], ""linux-archive"": [], ""linux-assemble"": [], ""linux-at"": [], ""linux-authorized-key"": [], ""linux-blockinfile"": [], ""linux-bower"": [], ""linux-bundler"": [], ""linux-capabilities"": [], ""linux-composer"": [], ""linux-cpanm"": [], ""linux-cron"": [], ""linux-cronvar"": [], ""linux-dconf"": [], ""linux-debconf"": [], ""linux-dpkg-selections"": [], ""linux-expect"": [], ""linux-file"": [], ""linux-filesystem"": [], ""linux-find"": [], ""linux-firewalld"": [], ""linux-flatpak"": [], ""linux-flatpak-remote"": [], ""linux-gather-facts"": [], ""linux-gconftool2"": [], ""linux-gem"": [], ""linux-get-url"": [], ""linux-getent"": [], ""linux-group"": [], ""linux-homebrew"": [], ""linux-homebrew-cask"": [], ""linux-homebrew-tap"": [], ""linux-hostname"": [], ""linux-htpasswd"": [], ""linux-ini-file"": [], ""linux-interfaces-file"": [], ""linux-iptables"": [], ""linux-iso-extract"": [], ""linux-java-cert"": [], ""linux-java-keystore"": [], ""linux-kernel-blacklist"": [], ""linux-known-hosts"": [], ""linux-layman"": [], ""linux-lineinfile"": [], ""linux-listen-ports-facts"": [], ""linux-locale-gen"": [], ""linux-maven-artifact"": [], ""linux-modprobe"": [], ""linux-mount"": [], ""linux-npm"": [], ""linux-open-iscsi"": [], ""linux-openssh-cert"": [], ""linux-openssh-keypair"": [], ""linux-package"": [], ""linux-package-facts"": [], ""linux-pam-limits"": [], ""linux-pamd"": [], ""linux-parted"": [], ""linux-pear"": [], ""linux-pids"": [], ""linux-ping"": [], ""linux-pip"": [], ""linux-pip-package-info"": [], ""linux-python-requirements-info"": [], ""linux-reboot"": [], ""linux-redhat-subscription"": [], ""linux-replace"": [], ""linux-rhn-channel"": [], ""linux-rhn-register"": [], ""linux-rhsm-release"": [], ""linux-rhsm-repository"": [], ""linux-rpm-key"": [], ""linux-seboolean"": [], ""linux-sefcontext"": [], ""linux-selinux"": [], ""linux-selinux-permissive"": [], ""linux-selogin"": [], ""linux-seport"": [], ""linux-service"": [], ""linux-service-facts"": [], ""linux-setup"": [], ""linux-snap"": [], ""linux-stat"": [], ""linux-supervisorctl"": [], ""linux-synchronize"": [], ""linux-sysctl"": [], ""linux-systemd"": [], ""linux-sysvinit"": [], ""linux-tempfile"": [], ""linux-timezone"": [], ""linux-ufw"": [], ""linux-unarchive"": [], ""linux-user"": [], ""linux-xfs-quota"": [], ""linux-xml"": [], ""linux-yarn"": [], ""linux-yum"": [], ""linux-yum-repository"": [], ""linux-zypper"": [], ""linux-zypper-repository"": [], ""test-module"": []}}",{},✅,"{
  ""Automation"": [],
  ""general_configurations"": []
}",✅,✅,✅,,,,,
ArcSight ESM v2,Packs/ArcSightESM/Integrations/ArcSightESMv2/ArcSightESMv2.yml,ArcSight,connectors/arcsight,juschwartz,"{""auth_types"": [{""name"": ""credentials"", ""type"": ""Plain"", ""interpolated"": true, ""xsoar_param_map"": {""credentials.identifier"": ""username"", ""credentials.password"": ""password""}}], ""other_connection"": [""insecure"", ""productVersion"", ""proxy"", ""server"", ""use_rest""]}","[""Fetch Issues"", ""Automation""]","{""integration"":""ArcSight ESM v2"",""commands"":{""test-module"":[""casesQueryViewerId"",""isFetch"",""viewerId""],""fetch-incidents"":[""casesQueryViewerId"",""viewerId"",""max_unique"",""fetch_chunk_size""],""as-fetch-incidents"":[""casesQueryViewerId"",""viewerId"",""max_unique"",""fetch_chunk_size""],""as-add-entries"":[],""as-case-delete"":[],""as-clear-entries"":[],""as-delete-entries"":[],""as-get-all-cases"":[],""as-get-all-query-viewers"":[],""as-get-case"":[],""as-get-case-event-ids"":[],""as-get-entries"":[],""as-get-matrix-data"":[],""as-get-query-viewer-results"":[],""as-get-security-events"":[],""as-update-case"":[]}}",{},✅,"{""Automation"": [], ""Fetch Issues"": [], ""general_configurations"": [""isFetch"", ""max_unique"", ""fetch_chunk_size"", ""viewerId"", ""casesQueryViewerId""]}",✅,✅,✅,,,,,
Atlassian Cloud MCP,Packs/AtlassianCloudMCP/Integrations/AtlassianCloudMCP/AtlassianCloudMCP.yml,Atlassian Automation and Collection,connectors/atlassian-automation-and-collection,juschwartz,"{""auth_types"":[{""type"":""Passthrough"",""name"":""auth_code"",""xsoar_param_map"":{""auth_code.password"":""authorization_code""},""interpolated"":true,""verify_connection_skip"":true}],""other_connection"":[]}","[""Automation""]","{""integration"":""Atlassian Cloud MCP"",""commands"":{""atlassian-cloud-mcp-auth-test"":[],""atlassian-cloud-mcp-generate-login-url"":[],""call-tool"":[],""list-tools"":[],""test-module"":[]}}",{},✅,"{
  ""Automation"": [],
  ""general_configurations"": []
}",✅,✅,✅,,,,,
OnePassword,Packs/OnePassword/Integrations/OnePassword/OnePassword.yml,1Password,connectors/1password,juschwartz,"{""auth_types"":[{""type"":""APIKey"",""name"":""credentials"",""xsoar_param_map"":{""credentials.password"":""key""},""interpolated"":true}],""other_connection"":[""event_types"",""insecure"",""proxy"",""url""]}","[""Log Collection""]","{""integration"":""OnePassword"",""commands"":{""test-module"":[],""one-password-get-events"":[""audit_events_limit"",""item_usage_actions_limit"",""sign_in_attempts_limit""],""fetch-events"":[""audit_events_limit"",""item_usage_actions_limit"",""sign_in_attempts_limit""]}}",{},✅,"{""Log Collection"":[],""general_configurations"":[""audit_events_limit"",""item_usage_actions_limit"",""sign_in_attempts_limit""]}",✅,✅,✅,,,,,
Palo Alto Networks AIOps,Packs/PaloAltoNetworksAIOps/Integrations/PaloAltoNetworksAIOps/PaloAltoNetworksAIOps.yml,AIOps,connectors/aiops,juschwartz,"{""auth_types"": [{""type"": ""Passthrough"", ""name"": ""Pan-OS API Key & AIOps Client Credentials"", ""xsoar_param_map"": {""credentials.password"": ""api_key"", ""credentials-aiops.identifier"": ""client_id"", ""credentials-aiops.password"": ""client_secret"", ""tsg_id"": ""tsg_id""}, ""interpolated"": true}], ""other_connection"": [""insecure"", ""url""]}","[""Automation""]","{""commands"": {""aiops-bpa-report-generate"": [], ""aiops-polling-upload-report"": [], ""test-module"": []}, ""integration"": ""Palo Alto Networks AIOps""}",{},✅,"{
  ""general_configurations"": [],
  ""Automation"": []
}",✅,✅,✅,,,,,
Pipl,Packs/Pipl/Integrations/Pipl/Pipl.yml,Pipl,connectors/pipl,juschwartz,"{""auth_types"": [{""name"": ""api_key"", ""type"": ""APIKey"", ""interpolated"": true, ""xsoar_param_map"": {""credentials_api_key.password"": ""key""}}], ""other_connection"": [""insecure"", ""proxy"", ""url""]}","[""Automation""]","{""integration"": ""Pipl"", ""commands"": {""pipl-search"": [], ""email"": [], ""test-module"": []}}",{},✅,"{""Automation"": [], ""general_configurations"": [""integration_reliability""]}",✅,✅,✅,,,,,
Zoom,Packs/Zoom/Integrations/Zoom/Zoom.yml,Zoom,connectors/zoom,juschwartz,"{""auth_types"":[{""name"":""oauth"",""type"":""Passthrough"",""interpolated"":true,""verify_connection_skip"":true,""xsoar_param_map"":{""account_id"":""account_id"",""credentials.identifier"":""client_id"",""credentials.password"":""client_secret"",""bot_credentials.identifier"":""bot_client_id"",""bot_credentials.password"":""bot_client_secret"",""secret_token.password"":""secret_token"",""verification_token.password"":""verification_token"",""key"":""private_key""}}],""other_connection"":[""botJID"",""certificate"",""insecure"",""longRunning"",""longRunningPort"",""mirroring"",""proxy"",""url""]}","[""Automation""]","{""integration"": ""Zoom"", ""commands"": {""test-module"": [], ""zoom-create-user"": [], ""zoom-create-meeting"": [], ""zoom-fetch-recording"": [], ""zoom-list-users"": [], ""zoom-delete-user"": [], ""zoom-meeting-get"": [], ""zoom-meeting-list"": [], ""zoom-list-account-public-channels"": [], ""zoom-list-user-channels"": [], ""zoom-create-channel"": [], ""zoom-delete-channel"": [], ""zoom-update-channel"": [], ""zoom-invite-to-channel"": [], ""zoom-remove-from-channel"": [], ""zoom-send-file"": [], ""zoom-send-message"": [], ""zoom-delete-message"": [], ""zoom-update-message"": [], ""zoom-list-messages"": [], ""close-channel"": [], ""zoom-delete-user-token"": [], ""send-notification"": [], ""mirror-investigation"": [], ""long-running-execution"": []}}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
Zoom Feed,Packs/FeedZoom/Integrations/FeedZoom/FeedZoom.yml,Zoom,connectors/zoom,juschwartz,"{""auth_types"": [{""type"": ""NoneRequired"", ""name"": ""No authentication"", ""interpolated"": true}], ""other_connection"": [""insecure"", ""proxy""]}","[""Threat Intelligence & Enrichment""]","{""integration"": ""Zoom Feed"", ""commands"": {""fetch-indicators"": [""feedTags"", ""tlp_color""], ""zoom-get-indicators"": [""feedTags"", ""tlp_color""], ""test-module"": []}}",{},✅,"{""general_configurations"":[],""Threat Intelligence & Enrichment"":[""feedTags"",""tlp_color"",""zoom_clients_certificate_validation"",""zoom_clients_user_browser""]}",✅,✅,✅,,,,,
Zoom Mail,Packs/ZoomMail/Integrations/ZoomMail/ZoomMail.yml,Zoom,connectors/zoom,juschwartz,"{""auth_types"": [{""type"": ""Passthrough"", ""name"": ""OAuth (Server-to-Server)"", ""xsoar_param_map"": {""account_id"": ""account_id"", ""credentials.identifier"": ""client_id"", ""credentials.password"": ""client_secret""}, ""interpolated"": true}], ""other_connection"": [""insecure"", ""proxy"", ""url""]}","[""Fetch Issues"", ""Automation""]","{""integration"": ""Zoom Mail"", ""commands"": {""fetch-incidents"": [""fetch_from"", ""fetch_labels"", ""fetch_query"", ""fetch_threads"", ""first_fetch"", ""max_fetch""], ""test-module"": [], ""zoom-mail-email-attachment-get"": [], ""zoom-mail-email-list"": [], ""zoom-mail-email-move-trash"": [], ""zoom-mail-mailbox-profile-get"": [], ""zoom-mail-send-email"": [], ""zoom-mail-thread-list"": [], ""zoom-mail-user-list"": []}}",{},✅,"{""general_configurations"": [], ""Fetch Issues"": [""fetch_from"", ""fetch_labels"", ""fetch_query"", ""fetch_threads"", ""first_fetch"", ""max_fetch""], ""Automation"": []}",✅,✅,✅,,,,,
ZoomEventCollector,Packs/Zoom/Integrations/ZoomEventCollector/ZoomEventCollector.yml,Zoom,connectors/zoom,juschwartz,"{""auth_types"":[{""type"":""Passthrough"",""name"":""OAuth (Server-to-Server)"",""xsoar_param_map"":{""account_id"":""account_id"",""credentials.identifier"":""client_id"",""credentials.password"":""client_secret""},""interpolated"":true}],""other_connection"":[""insecure"",""proxy"",""url""]}","[""Log Collection""]","{""integration"":""ZoomEventCollector"",""commands"":{""fetch-events"":[],""test-module"":[],""zoom-get-events"":[]}}",{},✅,"{""Log Collection"":[""first_fetch""],""general_configurations"":[]}",✅,✅,✅,,,,,
